"Ticker","Nome","Negócios","Última (R$)","Variação"
"SAPR11","Sanepar","2.388.400","43,81","-0,43%"
"GRND3","Grendene","2.336.300","4,55","+0,00%"
"VVEO3","Viveo","2.335.900","1,43","+3,62%"
"AMER3","Americanas","2.331.700","4,75","-1,04%"
"ALUP11","Alupar","2.328.100","32,64","-0,37%"
"SANB11","Banco Santander","2.255.100","33,10","-0,12%"
"INTB3","Intelbras","2.109.400","10,61","-4,59%"
"BPAN4","Banco Pan","2.011.800","11,76","-1,34%"
"EZTC3","EZTEC","1.981.300","14,04","-2,23%"
"VULC3","Vulcabras","1.931.400","18,20","-3,14%"
"POSI3","Positivo","1.905.700","3,98","+0,51%"
"BRAP4","Bradespar","1.864.700","22,19","-0,09%"
"SLCE3","SLC Agrícola","1.803.400","15,22","-1,42%"
"OIBR3","Oi","1.747.800","0,11","+10,00%"
"PSSA3","Porto Seguro","1.714.200","46,00","+0,00%"
"AZTE3","AZT Energia","1.701.000","0,39","-2,50%"
"TAEE11","Taesa","1.676.200","39,50","-0,95%"
"DXCO3","Dexco","1.665.200","5,26","-0,94%"
"NEOE3","Neoenergia","1.662.200","32,03","-0,09%"
"ODPV3","Odontoprev","1.610.100","10,69","+0,00%"
"HBSA3","Hidrovias do Brasil","1.586.800","3,95","+0,25%"
"QUAL3","Qualicorp","1.497.000","2,32","+0,87%"
"SBFG3","Grupo SBF","1.451.600","12,83","-1,69%"
"CAML3","Camil Alimentos","1.438.300","5,96","-0,67%"
"LAVV3","Lavvi Incorporadora","1.420.400","16,25","-3,56%"
"CASH3","Méliuz","1.384.400","4,22","-1,63%"
"BRSR6","Banrisul","1.383.400","16,33","+0,12%"
"BMGB4","Banco BMG","1.306.400","4,97","-0,60%"
"ISAE4","ISA Energia","1.245.400","25,94","-1,33%"
"HBOR3","Helbor","1.212.400","2,42","-2,42%"
"TTEN3","3tentos","1.184.800","15,55","-0,58%"
"MYPK3","Iochpe-Maxion","1.174.200","10,01","-0,20%"
"JSLG3","JSL","1.162.700","6,07","-2,25%"
"LPSB3","Lopes","1.120.700","1,52","-3,80%"
"TUPY3","Tupy","1.038.400","11,58","-0,26%"
"ITUB3","Itaú Unibanco","1.034.700","36,95","-0,24%"
"LJQQ3","Lojas Quero-Quero","1.018.000","2,26","-4,24%"
"AXIA6","Axia Energia","991.800","53,80","+13,84%"
"DESK3","Desktop","932.300","17,80","-0,34%"
"AZEV3","Azevedo & Travassos","924.500","0,39","+0,00%"
"IRBR3","IRB Brasil RE","917.000","52,42","+1,89%"
"SEER3","Ser Educacional","917.000","10,79","+0,65%"
"ALPA4","Alpargatas","874.600","12,87","-0,39%"
"PNVL3","Dimed","832.400","12,39","-2,21%"
"RCSL3","Recrusul","818.600","3,28","+7,19%"
"EVEN3","Even","810.300","7,10","-2,07%"
"CYRE4","Cyrela","799.500","23,62","-1,25%"
"MLAS3","Multilaser","786.800","1,38","-0,72%"
"IFCM3","Infracommerce","772.400","0,82","-2,38%"
"SAPR4","Sanepar","766.700","8,43","+0,36%"
"LIGT3","Light","766.200","4,52","-1,09%"
"FESA4","Ferbasa","752.900","6,82","-0,73%"
"MTRE3","Mitre Realty","732.200","3,66","+0,27%"
"DEXP3","Dexxos","689.400","7,28","-9,34%"
"ARML3","Armac","668.400","4,20","-3,00%"
"POMO3","Marcopolo","665.500","5,50","-0,36%"
"USIM3","Usiminas","654.800","6,28","-4,12%"
"KLBN3","Klabin","653.400","3,76","-0,53%"
"RANI3","Irani","641.100","8,71","-1,25%"
"MDNE3","Moura Dubeux","637.800","24,14","-2,66%"
"LUPA3","Lupatech","579.200","1,14","+11,76%"
"ESPA3","Espaçolaser","572.600","0,84","+1,20%"
"MELK3","Melnick","569.400","3,61","-1,90%"
"OPCT3","OceanPact","567.500","8,88","+0,57%"
"TFCO4","Track & Field","547.600","15,00","-2,09%"
"MILS3","Mills","536.500","13,86","-0,93%"
"ABCB4","Banco ABC Brasil","535.800","23,96","-1,20%"
"BLAU3","Blau Farmacêutica","535.100","8,92","-1,00%"
"ORVR3","Orizon","531.700","68,47","-0,62%"
"JALL3","Jalles Machado","526.900","2,93","+0,00%"
"PINE4","Banco Pine","477.000","13,24","-0,90%"
"BRBI11","BR Partners","423.200","17,98","-4,51%"
"GFSA3","Gafisa","419.700","4,03","-3,12%"
"VLID3","Valid","386.900","21,13","+3,83%"
"ALLD3","Allied","379.900","8,40","+0,36%"
"FIQE3","Unifique","355.400","4,89","+0,20%"
"MDIA3","M. Dias Branco","353.900","24,79","-0,24%"
"WIZC3","Wiz Soluções","339.300","9,29","-0,11%"
"ENJU3","Enjoei","335.100","1,02","-0,97%"
"BMOB3","Bemobi","328.300","22,07","+0,82%"
"VTRU3","VITRUBREPCOM","312.000","15,34","+2,33%"
"SYNE3","SYN","308.800","4,80","-1,64%"
"MEAL3","IMC Alimentação","298.100","1,24","-0,80%"
"SOJA3","Boa Safra Sementes","284.500","8,79","+0,69%"
"PTNT4","Pettenati","277.300","7,85","+71,02%"
"HBRE3","HBR Realty","261.900","3,55","-2,74%"
"TASA4","Taurus","249.500","5,43","+1,50%"
"LOGG3","LOG CP","245.800","26,60","-0,30%"
"ITSA3","Itaúsa","237.200","12,14","-0,90%"
"OBTC3","CURSINHO INTERGRAUS S.A","227.700","9,16","-0,11%"
"TOKY3","Toky","226.600","0,66","-1,49%"
"VIVR3","Viver","222.700","0,60","-1,64%"
"LEVE3","Mahle Metal Leve","214.200","34,28","-0,90%"
"PRNR3","Priner","198.400","15,97","-0,31%"
"TRIS3","Trisul","193.600","5,97","-1,81%"
